County,Median Household Income
Manhattan,66739
Kings,56942
Bronx,37397
Westchester,90578
Queens,64509
Nassau,108133
Richmond,79201
Dutchess,77915
Suffolk,88323
Albany,66204
Orange,79311
Putnam,99608
Rockland,88726
Sullivan,53877
Ulster,61652
Fulton,48033
Rensselaer,63166
Montgomery,47449
Schenectady,43174
Saratoga,77548
Columbia,61093
Warren,60222
Otsego,51254
Clinton,52759
Franklin,50733
St Lawrence,44454
Onondaga,54498
Jefferson,49911
Oswego,47646
Cortland,42976
Tompkins,56200
Cayuga,54664
Madison,58365
Monroe,52501
Oneida,48931
Wayne,53693
Broome,49064
Ontario,61710
Chenango,48567
Lewis,51475
Chemung,49685
Erie,55604
Niagara,51656
Chautauqua,42720
Genesee,54033
Cattaraugus,45571
Wyoming,55459
Allegany,42726
Livingston,53654
Steuben,50157